lat,long
52.86962513,13.26630468
52.86956231,13.26641089
52.86949949,13.2665171
52.86943658,13.26662332
52.86937375,13.26672953
52.86931093,13.26683574
52.86924811,13.26694196
52.86918528,13.26704817
52.86912246,13.26715438
52.86914675,13.26729738
52.86920958,13.26719117
52.8692724,13.26708496
52.86933522,13.26697875
52.86939805,13.26687254
52.86946087,13.26676632
52.86952369,13.26666011
52.86958652,13.2665539
52.86964934,13.26644768
52.86971216,13.26634147
52.86977498,13.26623526
52.86983781,13.26612904
52.86990063,13.26602283
52.86996345,13.26591646
52.87002636,13.26581024
52.87008918,13.26570403
52.87036468,13.26542217
52.87030186,13.26552839
52.87023904,13.26563461
52.87017622,13.26574097
52.87011339,13.26584719
52.87005057,13.2659534
52.86998775,13.26605962
52.86992493,13.26616583
52.8698621,13.26627205
52.86979928,13.26637826
52.86973646,13.26648448
52.86967363,13.26659069
52.86961081,13.2666969
52.8695479,13.26680312
52.86948508,13.26690933
52.86942225,13.26701554
52.86935943,13.26712176
52.8692966,13.26722797
52.86923378,13.26733418
52.86925808,13.26747718
52.8693209,13.26737097
52.86938372,13.26726476
52.86944655,13.26715855
52.86950937,13.26705234
52.86957219,13.26694612
52.86963502,13.26683991
52.86969784,13.2667337
52.86976066,13.26662748
52.86982349,13.26652127
52.86988631,13.26641506
52.86994913,13.26630884
52.87001195,13.26620263
52.87007478,13.26609641
52.87013769,13.26599019
52.87020051,13.26588398
52.87026333,13.26577776
52.87032616,13.26567154
52.87038898,13.26556533
52.8704518,13.26545911
52.87051462,13.26535289
52.87057744,13.26524653
52.87091585,13.26485844
52.87085302,13.26496466
52.87079021,13.26507103
52.87072738,13.26517725
52.87066456,13.26528347
52.87060165,13.26538969
52.87053883,13.2654959
52.87047601,13.26560212
52.87041318,13.26570834
52.87035036,13.26581455
52.87028754,13.26592077
52.87022472,13.26602699
52.87016189,13.2661332
52.87009907,13.26623942
52.87003625,13.26634563
52.86997343,13.26645185
52.8699106,13.26655806
52.86984778,13.26666428
52.86978496,13.26677049
52.86972213,13.2668767
52.86965931,13.26698292
52.8695964,13.26708913
52.86953357,13.26719535
52.86947075,13.26730156
52.86940793,13.26740777
52.8693451,13.26751398
52.8693694,13.26765699
52.86943222,13.26755077
52.86949504,13.26744456
52.86955787,13.26733835
52.86962069,13.26723214
52.86968352,13.26712593
52.86974634,13.26701971
52.86980916,13.2669135
52.86987199,13.26680729
52.86993481,13.26670107
52.86999763,13.26659486
52.87006045,13.26648864
52.87012328,13.26638243
52.87018619,13.26627621
52.87024901,13.26616999
52.87031184,13.26606378
52.87037466,13.26595756
52.87043748,13.26585135
52.8705003,13.26574513
52.87056312,13.26563891
52.87062595,13.26553269
52.87068877,13.26542648
52.87075159,13.26532026
52.87081441,13.26521404
52.87087723,13.26510782
52.87094006,13.2650016
52.87102717,13.26503839
52.87096435,13.26514461
52.87090153,13.26525083
52.87083871,13.26535705
52.87077589,13.26546327
52.87071306,13.26556948
52.87065015,13.26567571
52.87058733,13.26578192
52.87052451,13.26588814
52.87046169,13.26599436
52.87039886,13.26610057
52.87033604,13.26620679
52.87027322,13.266313
52.8702104,13.26641922
52.87014757,13.26652543
52.87008475,13.26663165
52.87002193,13.26673786
52.8699591,13.26684408
52.86989628,13.26695029
52.86983346,13.2670565
52.86977063,13.26716272
52.86970772,13.26726893
52.8696449,13.26737515
52.86958207,13.26748151
52.86951925,13.26758772
52.86945643,13.26769393
52.86948072,13.26783694
52.86954354,13.26773072
52.86960637,13.26762451
52.86966919,13.2675183
52.86973202,13.26741209
52.86979484,13.26730588
52.86985766,13.26719966
52.86992048,13.2670933
52.86998331,13.26698709
52.87004613,13.26688087
52.87010895,13.26677466
52.87017178,13.26666844
52.8702346,13.26656223
52.87029751,13.26645601
52.87036034,13.2663498
52.87042316,13.26624358
52.87048598,13.26613736
52.8705488,13.26603115
52.87061163,13.26592493
52.87067445,13.26581871
52.87073727,13.2657125
52.87080009,13.26560628
52.87086292,13.26550006
52.87092574,13.26539384
52.87098856,13.26528762
52.87105138,13.2651814
52.8711385,13.26521819
52.87107568,13.26532441
52.87101286,13.26543063
52.87095003,13.26553685
52.87088721,13.26564307
52.87082439,13.26574929
52.87076148,13.26585551
52.87069865,13.26596172
52.87063583,13.26606794
52.87057301,13.26617416
52.87051019,13.26628037
52.87044736,13.26638659
52.87038454,13.26649281
52.87032172,13.26659902
52.8702589,13.26670524
52.87019607,13.26681145
52.87013325,13.26691781
52.87007043,13.26702403
52.8700076,13.26713024
52.86994478,13.26723646
52.86988196,13.26734267
52.86981913,13.26744888
52.86975622,13.2675551
52.8696934,13.26766131
52.86963057,13.26776752
52.86956775,13.26787373
52.86959204,13.26801674
52.86965487,13.26791053
52.86971769,13.26780432
52.86978051,13.2676981
52.86984334,13.26759189
52.86990616,13.26748568
52.86996899,13.26737947
52.87003181,13.26727325
52.87009463,13.26716704
52.87015746,13.26706082
52.87022028,13.26695461
52.8702831,13.2668484
52.87034602,13.26674218
52.87040884,13.26663596
52.87047166,13.2665296
52.87053448,13.26642338
52.87059731,13.26631717
52.87066013,13.26621095
52.87072295,13.26610473
52.87078577,13.26599852
52.8708486,13.2658923
52.87091142,13.26578608
52.87097424,13.26567986
52.87103706,13.26557364
52.87109988,13.26546743
52.87116271,13.26536121
52.871187,13.26550422
52.87112418,13.26561044
52.87106136,13.26571665
52.87099854,13.26582287
52.87093571,13.26592909
52.87087289,13.26603531
52.87080998,13.26614153
52.87074716,13.26624774
52.87068434,13.26635411
52.87062151,13.26646033
52.87055869,13.26656654
52.87049587,13.26667276
52.87043304,13.26677897
52.87037022,13.26688519
52.8703074,13.2669914
52.87024457,13.26709762
52.87018175,13.26720383
52.87011893,13.26731005
52.8700561,13.26741626
52.86999328,13.26752247
52.86993046,13.26762868
52.86986754,13.2677349
52.86980472,13.26784111
52.86974189,13.26794733
52.86967907,13.26805354
52.86970336,13.26819654
52.86976619,13.26809033
52.86982901,13.26798412
52.86989184,13.26787791
52.86995466,13.26777169
52.87001748,13.26766548
52.87008031,13.26755927
52.87014313,13.26745306
52.87020595,13.26734684
52.87026878,13.26724063
52.8703316,13.26713441
52.87039443,13.2670282
